,Q3.1_1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.2_7,Q3.2_8,Q3.2_9,Q3.2_10,Q3.2_11,Q3.2_12,Q3.2_13,Q3.2_14,Q3.2_15,Q3.2_16,Q3.2_17,Q3.2_18,Q3.2_19,Q3.2_20,Q3.2_21,Q3.2_22,Q3.2_23,Q3.2_24,Q3.2_25,Q3.2_26,Q3.2_27,Q3.2_28,Q3.2_29,Q3.2_30,Q3.2_31,Q3.2_32,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7
1,61.666666666666664,5.333333333333333,4.666666666666667,5.0,3.6666666666666665,3.6666666666666665,3.3333333333333335,4.0,3.3333333333333335,3.3333333333333335,4.0,3.6666666666666665,5.0,5.333333333333333,5.0,3.0,4.333333333333333,4.0,5.333333333333333,5.333333333333333,4.0,5.0,4.666666666666667,5.0,4.333333333333333,4.666666666666667,3.6666666666666665,3.3333333333333335,5.0,4.0,5.333333333333333,5.0,4.333333333333333,5.0,5.0,4.0,4.0,5.333333333333333
2,51.4,3.8,4.4,4.0,4.4,5.2,4.4,4.4,4.6,4.4,2.8,4.6,4.2,4.0,4.0,2.8,2.8,3.8,4.8,4.4,3.6,4.4,4.2,5.2,3.8,3.6,4.0,4.8,5.0,3.8,5.0,4.4,4.8,4.4,4.4,4.4,3.8,4.8
3,79.0,5.5,5.333333333333333,5.0,3.3333333333333335,3.8333333333333335,3.3333333333333335,4.333333333333333,4.0,3.8333333333333335,3.3333333333333335,5.166666666666667,4.5,4.0,4.833333333333333,3.5,3.0,3.8333333333333335,5.333333333333333,5.833333333333333,4.833333333333333,5.5,4.5,5.166666666666667,4.0,4.333333333333333,3.0,5.5,5.166666666666667,3.6666666666666665,6.166666666666667,5.833333333333333,5.833333333333333,5.833333333333333,4.833333333333333,4.666666666666667,4.5,5.666666666666667
4,46.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,1.0,7.0,5.0,4.0,5.0,1.0,4.0,2.0,2.0,3.0,6.0,2.0,4.0,5.0,4.0,7.0,3.0,4.0,3.0,3.0,4.0
5,59.25,2.75,3.5,2.75,5.0,5.0,5.0,4.5,5.0,4.5,3.25,5.0,4.75,4.5,4.5,3.5,4.0,3.5,5.25,4.5,3.75,5.25,3.75,4.75,4.25,4.0,3.25,4.75,3.5,4.0,5.25,4.0,5.5,3.75,4.75,5.5,4.25,4.75
6,48.0,2.6666666666666665,4.0,3.4444444444444446,4.888888888888889,5.555555555555555,5.666666666666667,4.666666666666667,4.222222222222222,4.111111111111111,3.6666666666666665,5.555555555555555,4.111111111111111,3.888888888888889,4.111111111111111,4.0,3.111111111111111,3.3333333333333335,5.666666666666667,5.777777777777778,4.111111111111111,5.555555555555555,4.333333333333333,4.0,3.888888888888889,4.0,3.4444444444444446,5.111111111111111,4.222222222222222,4.111111111111111,5.555555555555555,5.0,6.111111111111111,3.7777777777777777,4.444444444444445,4.666666666666667,4.111111111111111,5.777777777777778
7,51.833333333333336,2.8333333333333335,3.0,2.8333333333333335,4.333333333333333,4.666666666666667,4.833333333333333,4.0,3.8333333333333335,4.0,3.3333333333333335,4.833333333333333,4.666666666666667,4.166666666666667,4.333333333333333,4.0,3.8333333333333335,3.1666666666666665,5.833333333333333,4.833333333333333,3.8333333333333335,5.166666666666667,3.8333333333333335,4.166666666666667,3.8333333333333335,3.6666666666666665,4.333333333333333,4.333333333333333,3.1666666666666665,4.0,4.666666666666667,4.333333333333333,5.666666666666667,3.0,4.166666666666667,4.333333333333333,3.0,4.333333333333333
8,44.666666666666664,3.5,3.8333333333333335,3.3333333333333335,3.0,3.8333333333333335,3.3333333333333335,3.1666666666666665,3.0,2.5,3.5,5.166666666666667,3.5,3.5,3.5,3.1666666666666665,3.1666666666666665,2.6666666666666665,5.833333333333333,4.666666666666667,3.1666666666666665,5.166666666666667,3.1666666666666665,3.5,3.3333333333333335,3.0,4.333333333333333,5.0,3.6666666666666665,4.166666666666667,4.5,4.333333333333333,5.166666666666667,3.3333333333333335,3.3333333333333335,3.0,2.8333333333333335,4.833333333333333
9,66.0,5.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,7.0,6.0,4.0,7.0,3.0,5.0,6.0,7.0,5.0,5.0,4.0,7.0,7.0,4.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0
10,70.0,4.0,4.857142857142857,4.285714285714286,4.714285714285714,4.428571428571429,4.714285714285714,5.0,4.285714285714286,4.571428571428571,3.2857142857142856,4.428571428571429,3.857142857142857,4.285714285714286,4.285714285714286,3.142857142857143,3.4285714285714284,4.428571428571429,5.285714285714286,4.857142857142857,3.857142857142857,4.0,4.0,4.0,4.0,4.142857142857143,3.857142857142857,4.571428571428571,4.428571428571429,4.0,5.857142857142857,4.428571428571429,6.142857142857143,5.571428571428571,4.428571428571429,4.428571428571429,4.571428571428571,4.285714285714286
11,35.8,3.0,3.4,4.0,5.2,5.0,4.6,5.0,5.0,5.0,3.6,5.2,4.0,4.0,3.8,3.2,4.2,4.0,6.0,4.8,3.8,4.8,3.6,4.6,3.8,4.0,3.8,4.8,3.8,4.2,5.0,4.8,5.8,3.6,4.6,5.4,4.6,4.6
12,64.0,4.666666666666667,5.0,5.0,4.333333333333333,4.333333333333333,3.0,4.666666666666667,4.333333333333333,4.666666666666667,2.3333333333333335,4.0,4.333333333333333,4.333333333333333,4.666666666666667,4.333333333333333,2.0,3.0,5.0,3.3333333333333335,3.6666666666666665,4.0,4.0,4.333333333333333,4.0,3.0,3.3333333333333335,5.333333333333333,3.6666666666666665,4.666666666666667,5.0,5.333333333333333,4.666666666666667,4.666666666666667,5.0,4.333333333333333,4.0,4.0
13,45.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0
14,46.6,4.2,5.0,3.6,3.6,3.6,2.8,3.0,3.2,3.2,3.0,4.6,3.0,2.8,2.6,2.6,4.8,2.8,6.0,4.6,4.0,4.8,3.2,4.8,3.4,2.6,3.6,5.0,3.8,4.2,5.6,4.4,5.4,4.6,3.6,3.4,3.2,5.2
15,60.0,6.0,6.25,5.75,3.5,4.5,3.0,4.0,3.75,3.75,2.25,4.75,4.0,4.0,4.25,2.5,4.0,4.0,6.5,5.25,4.5,2.5,3.75,4.25,4.5,4.5,2.75,5.0,4.25,3.75,5.75,5.5,6.25,5.5,4.0,4.25,4.0,5.25
16,69.6,4.6,5.0,4.2,4.6,5.0,4.8,4.8,5.0,5.0,3.2,5.0,4.8,4.8,4.8,4.4,3.2,4.0,5.6,5.2,4.6,5.6,4.4,5.2,4.6,4.4,3.8,4.6,5.2,4.0,5.8,4.6,6.4,5.0,4.8,5.2,4.2,5.4
17,78.25,4.25,4.25,4.0,5.0,4.75,5.0,4.75,5.25,5.25,3.25,5.25,4.25,4.75,4.5,3.5,3.25,4.0,5.5,5.75,5.0,5.5,4.25,5.5,4.5,4.25,3.5,5.25,6.0,5.0,5.25,5.0,5.75,4.75,4.75,5.25,4.75,5.75
18,60.0,3.0,3.5,4.5,4.0,4.5,4.0,4.0,4.5,4.5,2.5,4.0,3.0,3.5,3.0,3.0,3.0,4.0,4.5,4.5,4.0,4.5,4.0,4.0,4.5,3.5,4.5,5.0,4.5,4.0,4.5,4.0,5.0,4.5,4.5,4.0,4.5,5.0
