,path,factor1,factor2,factor3,factor4,factor5,factor6,factor7,attribute
0,11n24y (10).jpg,0.7934678731214171,0.40780509840869983,0.5176443889732584,0.2977868819954428,0.5603875130990286,0.295234008613371,0.6362121855771726,1
1,11n24y (15).jpg,0.5867379429141095,0.6135616571329896,0.526949664438448,0.22130806442534307,0.5311629419319948,0.27726562539881316,0.5818154555869162,1
2,11n24y (20).jpg,0.5814439288452964,0.48993775672462575,0.6335040626173802,0.39122661619173776,0.599170068602813,0.5247401191737225,0.5029694380975502,1
3,11n24y (22).jpg,0.7325930098936251,0.2805181590740917,0.3691151927740009,0.2263745150763002,0.5128134033262024,0.4646870377900081,0.4065252839631023,1
4,11n24y (24).jpg,0.6952606637955607,0.5475245649418826,0.4139038656655419,0.3249358387888716,0.49629859365929274,0.36986916082307686,0.4856168481962748,1
5,11n24y (27).jpg,0.5615360341513417,0.5703777344588136,0.4654048319677366,0.37527754890674003,0.5666797919300378,0.4432268015105236,0.6581608837844009,1
6,11n24y (28).jpg,0.7377080749859374,0.45362029020431677,0.3776963720494046,0.34823482510097725,0.5018793471968339,0.39501372230560095,0.5020958294538866,1
7,11n24y (29).jpg,0.6396765786304839,0.3660140097237087,0.4298414217917181,0.42636750043290966,0.5616704526180244,0.46194703069062826,0.45189225519283693,1
8,11n24y (31).jpg,0.15069930104940743,0.9375393707834984,0.8441737664508999,0.6405344104896711,0.6399396179384063,0.5147462496002589,0.8712411603767655,1
9,11n24y (32).jpg,0.5480237504916159,0.63596750958327,0.570929777049469,0.30597931807323314,0.5343439080919278,0.3455958669503262,0.5957468381181895,1
10,11n24y (36).jpg,0.4892984209858333,0.6612798689976535,0.5508569121410944,0.45861835710433313,0.4914081098038404,0.5010382265641368,0.4390059070667447,1
11,11n24y (40).jpg,0.6755138415886606,0.6776121327435766,0.663438672336692,0.177551884844911,0.3133162602707108,0.3901320062496354,0.44161866437909014,1
12,11n24y (44).jpg,0.4498353800638929,0.47913372337061966,0.5498466809331226,0.49243669039770505,0.6400571528048595,0.32930804355325083,0.6365371218507041,1
13,11n24y (48).jpg,0.4456713080983181,0.48805017898674,0.5456382529143228,0.44285661950365013,0.5848223574266304,0.45155023943417927,0.45169545062190997,1
14,11n24y (49).jpg,0.5724236427018053,0.6171181078720246,0.7425127578239389,0.24453586023380475,0.43993767252868365,0.48557150107488856,0.6144521646216714,1
15,11n24y (52).jpg,0.6269072147099267,0.6231357177131711,0.5965777869543888,0.3096128707523218,0.48898190344771775,0.4624615016634962,0.5925635656973163,1
16,11n24y (54).jpg,0.5577762469914024,0.6289445804959987,0.5729942984594004,0.33359959480752194,0.5546864551084951,0.4630083349419859,0.5743126005470267,1
17,11n24y (55).jpg,0.43900840536319774,0.5969961917492734,0.5129919207762886,0.30516844072307864,0.641614607733951,0.24388618097766968,0.467475827413691,1
18,11n24y (58).jpg,0.7440824050771463,0.6192378264651659,0.5672021275053106,0.17488285716803978,0.4630072204123809,0.4435678727879365,0.5264852542810537,1
